text_id,x,y,content,font_size,color,object_id,related_element_id
TXT-TMP_83f8c3d2-f0be-438f-9ac7-d8e487dd56de,430.1778,562.6332,0317599105母线,0.0763,"rgb(255,255,255)",TMP00313062,TMP_38397503-08e6-4cae-987f-dfbbe9740efb
TXT-TMP_65b05358-9ec4-455f-a0d0-91c202fcee83,445.9695,550.1094,开关00187,0.4088,"rgb(255,255,255)",TMP00132860,TMP_65b05358-9ec4-455f-a0d0-91c202fcee83
TXT-TMP_d01310d8-a7b8-48e7-ae5f-95de1b7cde2c,448.0133,550.1094,开关00186,0.4088,"rgb(255,255,255)",TMP00132861,TMP_d01310d8-a7b8-48e7-ae5f-95de1b7cde2c
TXT-TMP_5eae67f7-18ca-4083-a405-888fc95eb0da,450.0572,550.1094,开关00185,0.4088,"rgb(255,255,255)",TMP00132863,TMP_5eae67f7-18ca-4083-a405-888fc95eb0da
TXT-TMP_84cf56e0-a36f-48e9-8221-746087a812d2,447.8744,551.5176,配变2303,0.1819,"rgb(255,255,255)",TMP00132862,TMP_84cf56e0-a36f-48e9-8221-746087a812d2
TXT-TMP_886d3801-e6c5-4c11-9e7b-955c36b69df1,447.2622,548.0767,成素急书SUB020_配电站8112480550母线,0.0734,"rgb(255,255,255)",TMP00313063,TMP_5928efab-579f-4f37-9f48-44dd34bb54e5
TXT-TMP_df1d7e01-91ff-4cf2-91a3-ff01dcb1f41c,457.0071,565.1617,开关00141,0.4088,"rgb(255,255,255)",TMP00132847,TMP_df1d7e01-91ff-4cf2-91a3-ff01dcb1f41c
TXT-TMP_dd03349e-be51-4073-8a51-e019a7071e7c,459.051,565.1617,开关00140,0.4088,"rgb(255,255,255)",TMP00132848,TMP_dd03349e-be51-4073-8a51-e019a7071e7c
TXT-TMP_86dffa68-689b-45fa-80b0-37b3167cd963,461.0948,565.1617,开关00139,0.4088,"rgb(255,255,255)",TMP00132850,TMP_86dffa68-689b-45fa-80b0-37b3167cd963
TXT-TMP_5c9d1618-e440-4e88-94b7-31fb477df038,457.4887,564.2152,配变2264,0.189,"rgb(255,255,255)",TMP00132849,TMP_5c9d1618-e440-4e88-94b7-31fb477df038
TXT-TMP_c650de77-ac85-42c8-b55d-df8cc2352001,458.2998,563.1282,8093683982母,0.0763,"rgb(255,255,255)",TMP00313064,TMP_a0397e37-6b92-4454-8c94-0bd3ed72ec41
TXT-TMP_8641141f-88ec-45e8-bbab-cb720d8d5855,461.7522,548.9922,开关00138,0.4088,"rgb(255,255,255)",TMP00132841,TMP_8641141f-88ec-45e8-bbab-cb720d8d5855
TXT-TMP_8d144c4b-b4ff-40b5-954c-d4f3f5fb96a9,465.8399,548.9922,开关00137,0.4088,"rgb(255,255,255)",TMP00132844,TMP_8d144c4b-b4ff-40b5-954c-d4f3f5fb96a9
TXT-TMP_87772ef3-13d6-4947-ab48-57f4b8a485fe,463.796,548.9922,开关00136,0.4088,"rgb(255,255,255)",TMP00132842,TMP_87772ef3-13d6-4947-ab48-57f4b8a485fe
TXT-TMP_740c85c8-bbb0-4790-b488-d283d15a10bd,463.6296,550.3864,配变2283,0.1679,"rgb(255,255,255)",TMP00132843,TMP_740c85c8-bbb0-4790-b488-d283d15a10bd
TXT-TMP_a021bb75-11f1-4aad-99f7-cc99573730fb,463.0449,546.9594,0317596991母线,0.0734,"rgb(255,255,255)",TMP00313065,TMP_a0397e37-6b92-4454-8c94-0bd3ed72ec41
TXT-TMP_5c3aa745-e5d4-421b-af35-43fa8ae5d32a,492.7442,546.4191,开关00109,0.4088,"rgb(255,255,255)",TMP00132807,TMP_5c3aa745-e5d4-421b-af35-43fa8ae5d32a
TXT-TMP_8cf29974-582d-49d2-b56b-ebd565204159,494.788,546.4191,开关00108,0.4088,"rgb(255,255,255)",TMP00132808,TMP_8cf29974-582d-49d2-b56b-ebd565204159
TXT-TMP_3c3fd26b-1488-4de7-9600-d4e4b20a5e7a,496.8319,546.4191,开关00107,0.4088,"rgb(255,255,255)",TMP00132810,TMP_3c3fd26b-1488-4de7-9600-d4e4b20a5e7a
TXT-TMP_bebc3aa6-27b7-4ab9-b044-5b08ee838b8e,493.238,545.1684,配变2285,0.189,"rgb(255,255,255)",TMP00132809,TMP_bebc3aa6-27b7-4ab9-b044-5b08ee838b8e
