ConnectionID,StartDevice,EndDevice,PointsCount
TMP00313959,TMP00045995,TMP00045995,2
TMP00313960,TMP00045997,TMP00045997,2
TMP00313961,TMP00045998,TMP00045998,2
TMP00313962,TMP00045999,TMP00045999,2
TMP00313963,TMP00046000,TMP00046000,2
TMP00313964,TMP00046000,TMP00046000,2
TMP00313965,TMP00046329,TMP00046329,2
TMP00313966,TMP00046004,TMP00046004,2
TMP00313967,TMP00046331,TMP00046331,2
TMP00313968,TMP00046332,TMP00046332,2
TMP00313969,TMP00046005,TMP00046005,2
TMP00313970,TMP00046006,TMP00046006,2
TMP00313971,TMP00046007,TMP00046007,2
TMP00313972,TMP00046008,TMP00046008,2
TMP00313973,TMP00046010,TMP00046010,2
TMP00313974,TMP00046011,TMP00046011,2
TMP00313975,TMP00046342,TMP00046342,2
TMP00313976,TMP00046012,TMP00046012,2
TMP00313977,TMP00046013,TMP00046013,2
TMP00313978,TMP00046014,TMP00046014,2
TMP00313979,TMP00046015,TMP00046015,2
TMP00313980,TMP00046347,TMP00046347,2
TMP00313981,TMP00046016,TMP00046016,2
TMP00313982,TMP00046349,TMP00046349,2
TMP00313983,TMP00046350,TMP00046350,2
TMP00313984,TMP00046347,TMP00046347,2
TMP00313985,TMP00046017,TMP00046352,2
TMP00313986,TMP00046018,TMP00046018,2
TMP00313987,TMP00046019,TMP00046019,2
TMP00313988,TMP00046355,TMP00046355,2
TMP00313989,TMP00046356,TMP00046356,2
TMP00313990,TMP00046357,TMP00046357,2
TMP00313991,TMP00046020,TMP00046020,2
TMP00313992,TMP00046021,TMP00046021,2
TMP00313993,TMP00046361,TMP00046361,2
TMP00313994,TMP00046362,TMP00046362,2
TMP00313995,TMP00046022,TMP00046022,2
TMP00313996,TMP00046023,TMP00046023,2
TMP00313997,TMP00046024,TMP00046024,2
TMP00313998,TMP00044538,TMP00314001,2
TMP00314000,TMP00314001,TMP00314001,2
TMP00313806,TMP00314001,TMP00314001,2
TMP00314002,TMP00044538,TMP00314004,2
TMP00314003,TMP00314004,TMP00314004,2
TMP00314005,TMP00314004,TMP00314004,2
TMP00314007,TMP00044538,TMP00044538,2
TMP00314008,TMP00314004,TMP00314004,2
TMP00314009,TMP00044529,TMP00314012,2
TMP00314011,TMP00314012,TMP00045950,2
TMP00314013,TMP00045950,TMP00045950,2
TMP00314016,TMP00044529,TMP00044529,2
TMP00314017,TMP00314020,TMP00045950,2
TMP00314018,TMP00044529,TMP00314020,2
TMP00314019,TMP00314020,TMP00314020,2
TMP00314021,TMP00314020,TMP00314020,2
TMP00314023,TMP00044515,TMP00314026,2
TMP00314025,TMP00314026,TMP00045949,2
TMP00314027,TMP00045949,TMP00045949,2
TMP00314030,TMP00044515,TMP00044515,2
TMP00314031,TMP00314034,TMP00314034,2
TMP00314032,TMP00044515,TMP00314034,2
TMP00314033,TMP00314034,TMP00314034,2
TMP00314035,TMP00314034,TMP00314034,2
TMP00314037,TMP00044516,TMP00314040,2
TMP00314039,TMP00314040,TMP00314040,2
TMP00314041,TMP00314040,TMP00045948,2
TMP00314044,TMP00044516,TMP00314046,2
TMP00314045,TMP00314046,TMP00314046,2
TMP00314047,TMP00314046,TMP00314046,2
TMP00314049,TMP00044516,TMP00044516,2
TMP00314050,TMP00314046,TMP00314046,2
TMP00314051,TMP00044517,TMP00314054,2
TMP00314053,TMP00314054,TMP00045947,2
TMP00314055,TMP00045947,TMP00045947,2
TMP00314058,TMP00044517,TMP00314060,2
TMP00314059,TMP00314060,TMP00314060,2
TMP00314061,TMP00314060,TMP00314060,2
TMP00314063,TMP00044517,TMP00044517,2
TMP00314064,TMP00314060,TMP00314060,2
TMP00314065,TMP00044518,TMP00314068,2
TMP00314067,TMP00314068,TMP00314068,2
TMP00313809,TMP00314068,TMP00314068,2
TMP00314069,TMP00044518,TMP00314071,2
TMP00314070,TMP00314071,TMP00314071,2
TMP00314072,TMP00314071,TMP00314071,2
TMP00314074,TMP00044518,TMP00044518,2
TMP00314075,TMP00314071,TMP00314071,2
TMP00314076,TMP00044519,TMP00314079,2
TMP00314078,TMP00314079,TMP00314079,2
TMP00314080,TMP00314079,TMP00045945,2
TMP00314083,TMP00044519,TMP00044519,2
TMP00314084,TMP00314087,TMP00314087,2
TMP00314085,TMP00044519,TMP00314087,2
TMP00314086,TMP00314087,TMP00314087,2
TMP00314088,TMP00314087,TMP00314087,2
TMP00314090,TMP00046415,TMP00314093,2
TMP00314092,TMP00314093,TMP00045944,2
TMP00314094,TMP00045944,TMP00045944,2
TMP00314097,TMP00044554,TMP00314099,2
TMP00314098,TMP00314099,TMP00314099,2
TMP00314100,TMP00314099,TMP00314099,2
TMP00314102,TMP00044554,TMP00044554,2
TMP00314103,TMP00314099,TMP00314099,2
TMP00314104,TMP00044562,TMP00314107,2
TMP00314106,TMP00314107,TMP00045943,2
TMP00314108,TMP00045943,TMP00045943,2
TMP00314111,TMP00044562,TMP00044562,2
TMP00314112,TMP00314115,TMP00314115,2
TMP00314113,TMP00044562,TMP00314115,2
TMP00314114,TMP00314115,TMP00314115,2
TMP00314116,TMP00314115,TMP00314115,2
TMP00314118,TMP00044563,TMP00314121,2
TMP00314120,TMP00314121,TMP00045942,2
TMP00314122,TMP00045942,TMP00045942,2
TMP00314125,TMP00044563,TMP00044563,2
TMP00314126,TMP00314129,TMP00314129,2
TMP00314127,TMP00044563,TMP00314129,2
